# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.28571434	-79.26582878
6.29304035	-81.03579422
6.30036636	-77.01975434
6.30769237	-76.36352454
6.31501837	-85.89943543
6.32234438	-82.72490799
6.32967039	-82.78974043
6.33699640	-90.13451126
6.34432240	-84.75737941
6.35164841	-85.75633689
6.35897442	-76.59785549
6.36630042	-80.43199370
6.37362643	-81.18981641
6.38095244	-79.38262083
6.38827845	-80.81352051
6.39560445	-79.28536223
6.40293046	-73.52246236
6.41025647	-77.29039060
6.41758248	-84.32161885
6.42490848	-81.21139951
6.43223449	-80.03360649
6.43956050	-79.72850290
6.44688651	-83.30096262
6.45421251	-75.81461160
6.46153852	-81.88804535
6.46886453	-80.20171045
6.47619054	-75.71398059
6.48351654	-72.43152949
6.49084255	-76.63930137
6.49816856	-81.05949502
6.50549457	-93.99978320
6.51282057	-88.09564962
6.52014658	-96.32738484
6.52747259	-87.36736329
6.53479859	-96.66121072
6.54212460	-84.53497217
6.54945061	-86.44192365
6.55677662	-83.17127374
6.56410262	-86.64041322
6.57142863	-85.47341343
6.57875464	-79.53224295
6.58608065	-85.56102627
6.59340665	-79.08705608
6.60073266	-72.08589471
6.60805867	-78.09018460
6.61538468	-89.63495986
6.62271068	-83.68944996
6.63003669	-82.21973201
6.63736270	-83.41231406
6.64468871	-82.07102239
6.65201471	-88.21527505
6.65934072	-81.47786594
6.66666673	-80.80299996
6.67399274	-86.35604918
6.68131874	-74.14345297
6.68864475	-83.65836112
6.69597076	-77.86757242
6.70329676	-85.00982367
6.71062277	-77.82785681
6.71794878	-81.58259681
6.72527479	-85.82081373
6.73260079	-76.41126785
6.73992680	-76.40131708
6.74725281	-76.00842127
6.75457882	-75.35434664
6.76190482	-71.70703623
6.76923083	-81.13247913
6.77655684	-83.68578936
6.78388285	-85.82668444
6.79120885	-94.35109638
6.79853486	-86.57454973
6.80586087	-90.05785924
6.81318688	-79.00101432
6.82051288	-82.34010790
6.82783889	-78.13953934
6.83516490	-78.32229360
6.84249091	-78.62073973
6.84981691	-82.06042443
6.85714292	-79.28892086
6.86446893	-75.40231990
6.87179493	-75.10724434
6.87912094	-78.52486646
6.88644695	-72.82565221
6.89377296	-76.23149712
6.90109896	-72.91193546
6.90842497	-87.74152664
6.91575098	-83.90027898
6.92307699	-81.69880320
6.93040299	-85.04576961
6.93772900	-85.24253581
6.94505501	-83.14691543
6.95238102	-82.79171891
6.95970702	-78.07309330
6.96703303	-75.01687407
6.97435904	-79.18321592
6.98168505	-77.84970164
6.98901105	-80.20567737
6.99633706	-78.85602379
7.00366307	-81.16230279
7.01098908	-77.64663759
7.01831508	-75.08795086
7.02564109	-74.24561226
7.03296710	-74.59598304
7.04029310	-76.53029874
7.04761911	-90.31061268
7.05494512	-88.54502156
7.06227113	-86.56218045
7.06959713	-74.24815926
7.07692314	-77.76242221
7.08424915	-80.08743203
7.09157516	-77.14000914
7.09890116	-82.15416718
7.10622717	-84.38747756
7.11355318	-83.42704312
7.12087919	-86.88490888
7.12820519	-79.60531700
7.13553120	-92.32920763
7.14285721	-76.42364669
7.15018322	-99.02780625
7.15750922	-79.59074366
7.16483523	-88.61710503
7.17216124	-91.67107246
7.17948725	-78.66885600
7.18681325	-74.75211651
7.19413926	-75.30711876
7.20146527	-75.75529637
7.20879127	-93.53377852
7.21611728	-73.35018126
7.22344329	-75.66083677
7.23076930	-74.12402113
7.23809530	-85.91234753
7.24542131	-75.59699691
7.25274732	-82.63998813
7.26007333	-78.34881145
7.26739933	-84.37930701
7.27472534	-79.16934866
7.28205135	-81.33401422
7.28937736	-79.42425532
7.29670336	-88.94790213
7.30402937	-80.65365905
7.31135538	-77.72087484
7.31868139	-76.97729923
7.32600739	-78.08983301
7.33333340	-83.49894637
7.34065941	-81.07196427
7.34798542	-81.38349455
7.35531142	-83.31141762
7.36263743	-76.91379775
7.36996344	-77.31997129
7.37728944	-75.12230715
7.38461545	-79.93169198
7.39194146	-79.26902837
7.39926747	-77.66444759
7.40659347	-88.79154108
7.41391948	-81.07411745
7.42124549	-78.14615237
7.42857150	-82.30606264
7.43589750	-97.08951281
7.44322351	-76.44445751
7.45054952	-76.52073565
7.45787553	-85.47409185
7.46520153	-80.85054926
7.47252754	-87.43623407
7.47985355	-85.07845612
7.48717956	-87.10785367
7.49450556	-75.84147836
7.50183157	-74.22692205
