# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.31501837	-95.41167346
6.32234438	-82.52635178
6.32967039	-84.09292029
6.33699639	-80.17544595
6.34432240	-99.42162143
6.35164841	-82.27732252
6.35897442	-86.61021535
6.36630042	-88.78255450
6.37362643	-82.39829823
6.38095244	-88.83096682
6.38827845	-89.02143897
6.39560445	-82.75993993
6.40293046	-84.42486309
6.41025647	-94.95310534
6.41758248	-94.88226722
6.42490848	-87.96628290
6.43223449	-85.04182226
6.43956050	-89.34925179
6.44688651	-82.69940929
6.45421251	-86.19894018
6.46153852	-84.84233657
6.46886453	-88.02816617
6.47619053	-83.33757612
6.48351654	-83.44614677
6.49084255	-83.17271048
6.49816856	-86.34274717
6.50549456	-88.40596255
6.51282057	-88.31529781
6.52014658	-84.41805596
6.52747259	-82.81865530
6.53479859	-83.82580376
6.54212460	-90.36404254
6.54945061	-93.79560519
6.55677662	-84.17783801
6.56410262	-84.37694123
6.57142863	-82.46795322
6.57875464	-81.45542860
6.58608065	-82.65691817
6.59340665	-102.69681077
6.60073266	-83.23619092
6.60805867	-95.26277375
6.61538468	-80.77738279
6.62271068	-90.27848102
6.63003669	-84.66776129
6.63736270	-90.96387460
6.64468870	-80.78600815
6.65201471	-83.44431059
6.65934072	-83.78527115
6.66666673	-82.67114354
6.67399273	-81.56603732
6.68131874	-78.64739723
6.68864475	-81.99341672
6.69597076	-91.67043280
6.70329676	-110.49441332
6.71062277	-84.95117416
6.71794878	-90.33349659
6.72527479	-82.04566254
6.73260079	-84.62791646
6.73992680	-92.22587271
6.74725281	-95.14675851
6.75457882	-88.52991092
6.76190482	-82.66398561
6.76923083	-83.02133772
6.77655684	-83.62737821
6.78388285	-80.05099643
6.79120885	-81.85512515
6.79853486	-84.13011970
6.80586087	-88.49010118
6.81318687	-92.95878645
6.82051288	-96.71201923
6.82783889	-89.66456414
6.83516490	-84.92994480
6.84249090	-87.15582748
6.84981691	-84.06100037
6.85714292	-80.60527041
6.86446893	-88.97035953
6.87179493	-85.35885095
6.87912094	-85.20814928
6.88644695	-89.12211421
6.89377296	-84.22941656
6.90109896	-84.96255175
6.90842497	-81.69916602
6.91575098	-83.73974512
6.92307699	-84.45740463
6.93040299	-84.63400265
6.93772900	-97.43776229
6.94505501	-91.63941597
6.95238102	-80.86370919
6.95970702	-85.80509365
6.96703303	-82.68534974
6.97435904	-89.62251906
6.98168505	-92.60035293
6.98901105	-85.72305511
6.99633706	-91.72259803
