# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-203.50000022	-0.07648826
-203.46666689	-0.06650585
-203.43333356	-0.05687533
-203.40000023	-0.04726907
-203.36666689	-0.03769254
-203.33333356	-0.02797778
-203.30000023	-0.01768412
-203.26666689	-0.00712618
-203.23333356	0.00387698
-203.20000023	0.01417080
-203.16666689	0.02367353
-203.13333356	0.03123370
-203.10000023	0.03669782
-203.06666690	0.03943565
-203.03333356	0.03988220
-203.00000023	0.03847996
-202.96666690	0.03551524
-202.93333356	0.03123307
-202.90000023	0.02575638
-202.86666690	0.01926012
-202.83333356	0.01201252
-202.80000023	0.00370362
-202.76666690	-0.00516189
-202.73333356	-0.01418336
-202.70000023	-0.02344317
-202.66666690	-0.03244085
-202.63333357	-0.04098278
-202.60000023	-0.04921956
-202.56666690	-0.05710180
-202.53333357	-0.06406792
-202.50000023	-0.07070254
-202.46666690	-0.07640998
-202.43333357	-0.08150754
-202.40000023	-0.08533841
-202.36666690	-0.08802949
-202.33333357	-0.08905512
-202.30000024	-0.08824662
-202.26666690	-0.08557977
-202.23333357	-0.08116279
-202.20000024	-0.07471576
-202.16666690	-0.06728198
-202.13333357	-0.05924092
-202.10000024	-0.05077964
-202.06666690	-0.04258691
-202.03333357	-0.03498201
-202.00000024	-0.02832195
-201.96666691	-0.02242594
-201.93333357	-0.01737012
-201.90000024	-0.01335928
-201.86666691	-0.01011712
-201.83333357	-0.00754395
-201.80000024	-0.00538367
-201.76666691	-0.00331552
-201.73333357	-0.00115051
-201.70000024	0.00140729
-201.66666691	0.00456234
-201.63333357	0.00785892
-201.60000024	0.01118560
-201.56666691	0.01458333
-201.53333358	0.01803934
-201.50000024	0.02130714
-201.46666691	0.02507312
-201.43333358	0.02899248
-201.40000024	0.03310076
-201.36666691	0.03682448
-201.33333358	0.03985514
-201.30000024	0.04133428
-201.26666691	0.04055313
-201.23333358	0.03767163
-201.20000025	0.03258747
-201.16666691	0.02544576
-201.13333358	0.01631411
-201.10000025	0.00588357
-201.06666691	-0.00572640
-201.03333358	-0.01828035
-201.00000025	-0.03132067
-200.96666691	-0.04425539
-200.93333358	-0.05671416
-200.90000025	-0.06852637
-200.86666692	-0.07872377
-200.83333358	-0.08702960
-200.80000025	-0.09331831
-200.76666692	-0.09694331
-200.73333358	-0.09827610
-200.70000025	-0.09677277
-200.66666692	-0.09339169
-200.63333358	-0.08826318
-200.60000025	-0.08183818
-200.56666692	-0.07456811
-200.53333358	-0.06687289
-200.50000025	-0.05896695
-200.46666692	-0.05090050
-200.43333359	-0.04262955
-200.40000025	-0.03440605
-200.36666692	-0.02564451
-200.33333359	-0.01709255
-200.30000025	-0.00847595
-200.26666692	-0.00042306
-200.23333359	0.00747617
-200.20000025	0.01423288
-200.16666692	0.01977374
-200.13333359	0.02351021
-200.10000026	0.02582623
-200.06666692	0.02638071
-200.03333359	0.02496166
-200.00000026	0.02194958
-199.96666692	0.01784137
-199.93333359	0.01255624
-199.90000026	0.00690218
-199.86666692	0.00124223
-199.83333359	-0.00406068
-199.80000026	-0.00857316
-199.76666693	-0.01194421
-199.73333359	-0.01442589
-199.70000026	-0.01536299
-199.66666693	-0.01496251
-199.63333359	-0.01314122
-199.60000026	-0.00975900
-199.56666693	-0.00485877
-199.53333359	0.00128339
-199.50000026	0.00863807
-199.46666693	0.01688398
-199.43333359	0.02564754
-199.40000026	0.03471666
-199.36666693	0.04360871
-199.33333360	0.05218699
-199.30000026	0.05993238
-199.26666693	0.06632005
-199.23333360	0.07062804
-199.20000026	0.07279496
-199.16666693	0.07232664
-199.13333360	0.06932292
-199.10000026	0.06374431
-199.06666693	0.05626815
-199.03333360	0.04706812
-199.00000027	0.03703108
-198.96666693	0.02648778
-198.93333360	0.01567172
-198.90000027	0.00542446
-198.86666693	-0.00458560
-198.83333360	-0.01395535
-198.80000027	-0.02250859
-198.76666693	-0.03026944
-198.73333360	-0.03696048
-198.70000027	-0.04265894
-198.66666694	-0.04701041
-198.63333360	-0.05066146
-198.60000027	-0.05279156
-198.56666694	-0.05408105
-198.53333360	-0.05382815
-198.50000027	-0.05253719
-198.46666694	-0.04991621
-198.43333360	-0.04647229
-198.40000027	-0.04264609
-198.36666694	-0.03850562
-198.33333360	-0.03480134
-198.30000027	-0.03161361
-198.26666694	-0.02867886
-198.23333361	-0.02612057
-198.20000027	-0.02378645
-198.16666694	-0.02139380
-198.13333361	-0.01865905
-198.10000027	-0.01572260
-198.06666694	-0.01237557
-198.03333361	-0.00895661
-198.00000027	-0.00533281
-197.96666694	-0.00168438
-197.93333361	0.00219716
-197.90000028	0.00596669
-197.86666694	0.01009285
-197.83333361	0.01467281
-197.80000028	0.01945753
-197.76666694	0.02428985
-197.73333361	0.02912774
-197.70000028	0.03364602
-197.66666694	0.03759069
-197.63333361	0.04099930
-197.60000028	0.04381978
-197.56666695	0.04610584
-197.53333361	0.04792728
-197.50000028	0.04904688
-197.46666695	0.04960407
-197.43333361	0.04921268
-197.40000028	0.04793825
-197.36666695	0.04562796
-197.33333361	0.04202882
-197.30000028	0.03754389
-197.26666695	0.03194465
-197.23333361	0.02574051
-197.20000028	0.01904386
-197.16666695	0.01182835
-197.13333362	0.00408238
-197.10000028	-0.00397932
-197.06666695	-0.01273292
-197.03333362	-0.02217792
-197.00000028	-0.03191658
-196.96666695	-0.04155599
-196.93333362	-0.05068478
-196.90000028	-0.05885726
-196.86666695	-0.06584963
-196.83333362	-0.07048318
-196.80000029	-0.07336497
-196.76666695	-0.07367529
-196.73333362	-0.07197216
-196.70000029	-0.06786034
-196.66666695	-0.06183049
-196.63333362	-0.05368984
-196.60000029	-0.04381023
-196.56666695	-0.03254306
-196.53333362	-0.02037804
-196.50000029	-0.00792421
-196.46666696	0.00405428
