# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-205.26666688	0.36725258
-205.23333354	0.33958484
-205.20000021	0.31370400
-205.16666688	0.28804723
-205.13333355	0.26140647
-205.10000021	0.23255169
-205.06666688	0.20097045
-205.03333355	0.16634206
-205.00000021	0.13011066
-204.96666688	0.09257195
-204.93333355	0.05628513
-204.90000021	0.02196528
-204.86666688	-0.00839249
-204.83333355	-0.03463747
-204.80000022	-0.05598334
-204.76666688	-0.07234110
-204.73333355	-0.08455327
-204.70000022	-0.09286961
-204.66666688	-0.09737528
-204.63333355	-0.09877366
-204.60000022	-0.09742032
-204.56666688	-0.09405345
-204.53333355	-0.08900800
-204.50000022	-0.08311718
-204.46666688	-0.07756098
-204.43333355	-0.07214848
-204.40000022	-0.06757858
-204.36666689	-0.06413603
-204.33333355	-0.06142966
-204.30000022	-0.05965815
-204.26666689	-0.05849900
-204.23333355	-0.05800110
-204.20000022	-0.05810469
-204.16666689	-0.05890909
-204.13333355	-0.06061803
-204.10000022	-0.06299391
-204.06666689	-0.06620550
-204.03333356	-0.07039038
-204.00000022	-0.07526324
-203.96666689	-0.08122073
-203.93333356	-0.08775581
-203.90000022	-0.09519415
-203.86666689	-0.10222573
-203.83333356	-0.10851755
-203.80000022	-0.11319275
-203.76666689	-0.11554063
-203.73333356	-0.11487710
-203.70000022	-0.11087644
-203.66666689	-0.10351818
-203.63333356	-0.09261550
-203.60000023	-0.07862804
-203.56666689	-0.06149739
-203.53333356	-0.04230903
-203.50000023	-0.02145238
-203.46666689	-0.00016246
-203.43333356	0.01996800
-203.40000023	0.03802848
-203.36666689	0.05249377
-203.33333356	0.06208384
-203.30000023	0.06580859
-203.26666690	0.06406132
-203.23333356	0.05674201
-203.20000023	0.04477419
-203.16666690	0.02930628
-203.13333356	0.01172168
-203.10000023	-0.00643920
-203.06666690	-0.02390933
-203.03333356	-0.03963443
-203.00000023	-0.05251398
-202.96666690	-0.06218294
-202.93333357	-0.06825498
-202.90000023	-0.07104200
-202.86666690	-0.07080022
-202.83333357	-0.06876074
-202.80000023	-0.06596971
-202.76666690	-0.06347114
-202.73333357	-0.06177838
-202.70000023	-0.06191559
-202.66666690	-0.06400581
-202.63333357	-0.06784322
-202.60000023	-0.07334099
-202.56666690	-0.08007969
-202.53333357	-0.08759245
-202.50000024	-0.09604168
-202.46666690	-0.10412957
-202.43333357	-0.11217154
-202.40000024	-0.11923142
-202.36666690	-0.12475070
-202.33333357	-0.12877551
-202.30000024	-0.13083862
-202.26666690	-0.13104877
-202.23333357	-0.12909425
-202.20000024	-0.12526370
-202.16666691	-0.11938144
-202.13333357	-0.11180792
-202.10000024	-0.10298503
-202.06666691	-0.09334039
-202.03333357	-0.08319182
-202.00000024	-0.07329451
-201.96666691	-0.06385254
-201.93333357	-0.05458841
-201.90000024	-0.04566991
-201.86666691	-0.03681069
-201.83333357	-0.02752229
-201.80000024	-0.01784917
-201.76666691	-0.00704966
-201.73333358	0.00383867
-201.70000024	0.01467781
-201.66666691	0.02469898
-201.63333358	0.03294636
-201.60000024	0.03887906
-201.56666691	0.04233503
-201.53333358	0.04365400
-201.50000024	0.04305006
-201.46666691	0.04077271
-201.43333358	0.03727417
-201.40000025	0.03259536
-201.36666691	0.02650805
-201.33333358	0.01922678
-201.30000025	0.01102726
-201.26666691	0.00208504
-201.23333358	-0.00710164
-201.20000025	-0.01643492
-201.16666691	-0.02536946
-201.13333358	-0.03401221
-201.10000025	-0.04249063
-201.06666692	-0.05046262
-201.03333358	-0.05788961
-201.00000025	-0.06475197
-200.96666692	-0.07093721
-200.93333358	-0.07632541
-200.90000025	-0.08072765
-200.86666692	-0.08390485
-200.83333358	-0.08586797
-200.80000025	-0.08591272
-200.76666692	-0.08377444
-200.73333358	-0.07958018
-200.70000025	-0.07372199
-200.66666692	-0.06643442
-200.63333359	-0.05814964
-200.60000025	-0.04969063
-200.56666692	-0.04137769
-200.53333359	-0.03388738
-200.50000025	-0.02695226
-200.46666692	-0.02072875
-200.43333359	-0.01560213
-200.40000025	-0.01161640
-200.36666692	-0.00842371
-200.33333359	-0.00636691
-200.30000026	-0.00483535
-200.26666692	-0.00335540
-200.23333359	-0.00148469
-200.20000026	0.00077155
-200.16666692	0.00349432
-200.13333359	0.00673061
-200.10000026	0.00987426
-200.06666692	0.01286035
-200.03333359	0.01579287
-200.00000026	0.01887965
-199.96666692	0.02242264
-199.93333359	0.02671721
-199.90000026	0.03109663
-199.86666693	0.03559868
-199.83333359	0.03893298
-199.80000026	0.04092709
-199.76666693	0.04061143
-199.73333359	0.03812014
-199.70000026	0.03327696
-199.66666693	0.02648771
-199.63333359	0.01776994
-199.60000026	0.00789431
-199.56666693	-0.00343599
-199.53333360	-0.01589556
-199.50000026	-0.02857669
-199.46666693	-0.04160930
-199.43333360	-0.05382715
-199.40000026	-0.06518038
-199.36666693	-0.07513257
-199.33333360	-0.08288131
-199.30000026	-0.08843266
-199.26666693	-0.09154429
-199.23333360	-0.09216814
-199.20000027	-0.09034712
-199.16666693	-0.08627431
-199.13333360	-0.08044124
-199.10000027	-0.07348710
-199.06666693	-0.06605475
-199.03333360	-0.05832496
-199.00000027	-0.05084116
-198.96666693	-0.04332566
-198.93333360	-0.03611120
-198.90000027	-0.02887743
-198.86666693	-0.02142208
-198.83333360	-0.01423824
-198.80000027	-0.00682906
-198.76666694	0.00013386
-198.73333360	0.00666986
-198.70000027	0.01281795
-198.66666694	0.01776069
-198.63333360	0.02163879
-198.60000027	0.02436419
-198.56666694	0.02543672
-198.53333360	0.02478869
-198.50000027	0.02274858
-198.46666694	0.01958328
-198.43333361	0.01536832
-198.40000027	0.01045542
-198.36666694	0.00556088
-198.33333361	0.00083606
-198.30000027	-0.00324267
-198.26666694	-0.00663380
-198.23333361	-0.00895725
-198.20000027	-0.01024394
-198.16666694	-0.01014324
-198.13333361	-0.00851745
-198.10000027	-0.00535786
-198.06666694	-0.00051290
-198.03333361	0.00573797
-198.00000028	0.01293694
-197.96666694	0.02105954
-197.93333361	0.02995271
-197.90000028	0.03914187
-197.86666694	0.04825459
-197.83333361	0.05708864
-197.80000028	0.06524976
-197.76666694	0.07216636
-197.73333361	0.07709413
-197.70000028	0.07958220
-197.66666695	0.07914030
-197.63333361	0.07607076
-197.60000028	0.07019311
-197.56666695	0.06224438
-197.53333361	0.05258133
-197.50000028	0.04175530
-197.46666695	0.03070451
-197.43333361	0.01921597
-197.40000028	0.00782448
-197.36666695	-0.00295029
-197.33333362	-0.01296906
-197.30000028	-0.02197816
-197.26666695	-0.02972894
-197.23333362	-0.03650912
-197.20000028	-0.04219561
-197.16666695	-0.04654607
-197.13333362	-0.04980165
-197.10000028	-0.05209707
-197.06666695	-0.05277702
-197.03333362	-0.05223299
-197.00000028	-0.05033257
-196.96666695	-0.04731726
-196.93333362	-0.04340074
-196.90000029	-0.03920022
-196.86666695	-0.03500704
-196.83333362	-0.03120921
-196.80000029	-0.02779249
-196.76666695	-0.02538990
-196.73333362	-0.02322686
-196.70000029	-0.02116842
-196.66666695	-0.01907778
-196.63333362	-0.01674577
-196.60000029	-0.01419978
-196.56666696	-0.01118229
-196.53333362	-0.00805370
-196.50000029	-0.00500759
-196.46666696	-0.00140711
-196.43333362	0.00198674
-196.40000029	0.00580548
-196.36666696	0.01004515
-196.33333362	0.01463691
-196.30000029	0.01941026
-196.26666696	0.02444433
-196.23333362	0.02909927
-196.20000029	0.03364754
-196.16666696	0.03762595
-196.13333363	0.04118607
-196.10000029	0.04406088
-196.06666696	0.04624070
