# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
4.18315017	-77.05521014
4.19047617	-78.64710007
4.19780218	-88.54311745
4.20512819	-82.78286985
4.21245420	-79.02581561
4.21978020	-79.47726769
4.22710621	-82.15579520
4.23443222	-78.38719759
4.24175823	-81.54391366
4.24908423	-85.39360426
4.25641024	-78.19173396
4.26373625	-76.32695280
4.27106225	-90.08918597
4.27838826	-78.95787443
4.28571427	-82.36118969
4.29304028	-75.38960438
4.30036628	-78.81939461
4.30769229	-75.11154951
4.31501830	-73.64841935
4.32234431	-76.84020625
4.32967031	-74.62108619
4.33699632	-76.69609486
4.34432233	-76.41743216
4.35164833	-75.13482320
4.35897434	-74.92564329
4.36630035	-77.48965130
4.37362636	-77.85132770
4.38095236	-78.50305563
4.38827837	-85.64949674
4.39560438	-76.76799451
4.40293039	-79.31026710
4.41025639	-79.93737979
4.41758240	-76.51321156
4.42490841	-79.65225792
4.43223441	-78.67515141
4.43956042	-83.54215348
4.44688643	-83.06740085
4.45421244	-84.48800197
4.46153844	-86.39358144
4.46886445	-86.07273003
4.47619046	-86.13890962
4.48351647	-81.62910003
4.49084247	-83.41807643
4.49816848	-100.41269730
4.50549449	-91.48810371
4.51282050	-92.77734549
4.52014650	-80.65384707
4.52747251	-80.33956127
4.53479852	-82.89652444
4.54212452	-81.56989261
4.54945053	-88.07220976
4.55677654	-93.19802893
4.56410255	-98.60859219
4.57142855	-86.91752734
4.57875456	-85.28856697
4.58608057	-82.07118351
4.59340658	-84.03687615
4.60073258	-83.13220944
4.60805859	-88.45400310
4.61538460	-88.68909468
4.62271060	-84.21722613
4.63003661	-83.31113523
4.63736262	-82.07649151
4.64468863	-85.73130537
4.65201463	-78.46950510
4.65934064	-86.39911118
4.66666665	-82.56549259
4.67399266	-81.69515263
4.68131866	-84.45137034
4.68864467	-86.90255288
4.69597068	-83.25778857
4.70329668	-79.41744824
4.71062269	-91.15230894
4.71794870	-89.53376240
4.72527471	-82.45243050
4.73260071	-80.07193002
4.73992672	-84.96154572
4.74725273	-80.67907899
4.75457874	-80.80327484
4.76190474	-83.41886406
4.76923075	-85.80222203
4.77655676	-84.03537633
4.78388277	-84.20259342
4.79120877	-80.42786904
4.79853478	-76.83726857
4.80586079	-79.47072239
4.81318679	-88.36322368
4.82051280	-84.41709827
4.82783881	-82.73279148
4.83516482	-84.89113448
4.84249082	-91.07375220
4.84981683	-83.72494125
4.85714284	-79.17270848
4.86446885	-80.97947888
4.87179485	-86.63421546
4.87912086	-76.36980833
4.88644687	-87.51907640
4.89377287	-81.34242630
4.90109888	-94.87168989
4.90842489	-81.38451338
4.91575090	-83.96365316
4.92307690	-88.42591528
4.93040291	-90.16255623
4.93772892	-91.41258185
4.94505493	-79.12171275
4.95238093	-82.58333051
4.95970694	-81.83172918
4.96703295	-86.70562053
4.97435895	-102.96779284
4.98168496	-83.65291134
4.98901097	-82.69695531
4.99633698	-88.77571468
5.00366298	-82.24151359
5.01098899	-84.57193016
5.01831500	-78.51113949
5.02564101	-82.90341166
5.03296701	-92.00493493
5.04029302	-84.67324738
5.04761903	-86.19870657
5.05494504	-88.29976836
5.06227104	-83.99905391
5.06959705	-88.45324850
5.07692306	-85.47006228
5.08424906	-84.68650939
5.09157507	-83.01899572
5.09890108	-97.49414872
5.10622709	-88.46879149
5.11355309	-98.43651029
5.12087910	-83.02724972
5.12820511	-88.86159536
5.13553112	-84.17171086
5.14285712	-115.43299237
5.15018313	-78.73923983
5.15750914	-82.24724489
5.16483514	-94.62225989
5.17216115	-93.26614109
5.17948716	-90.89384091
5.18681317	-88.57083086
5.19413917	-86.48806925
5.20146518	-86.32935844
5.20879119	-90.17183634
5.21611720	-94.84541202
5.22344320	-98.76739655
5.23076921	-83.13416442
5.23809522	-103.75487632
5.24542122	-82.16220446
5.25274723	-88.85176777
5.26007324	-80.85167879
5.26739925	-83.43361097
5.27472525	-91.00747070
5.28205126	-81.96343835
5.28937727	-82.83289773
5.29670328	-101.52356809
5.30402928	-103.72006706
5.31135529	-90.37800683
5.31868130	-81.45467351
5.32600731	-88.01193111
5.33333331	-95.36775275
5.34065932	-90.66899067
5.34798533	-87.23833342
5.35531133	-83.67439204
5.36263734	-81.31535870
5.36996335	-84.89277555
5.37728936	-97.15548128
5.38461536	-94.13173928
5.39194137	-83.92005690
5.39926738	-84.61640234
5.40659339	-80.55426551
5.41391939	-77.02215041
5.42124540	-92.39581824
5.42857141	-83.41794245
5.43589741	-81.07858209
5.44322342	-90.30809835
5.45054943	-98.41719797
5.45787544	-89.79731528
5.46520144	-102.83699413
5.47252745	-93.79305355
5.47985346	-85.10508388
5.48717947	-82.21731034
5.49450547	-83.50166199
5.50183148	-100.05104950
5.50915749	-90.88609873
5.51648349	-95.19200957
5.52380950	-88.51396833
5.53113551	-85.78139254
5.53846152	-90.63440414
5.54578752	-82.36374616
5.55311353	-81.69165029
5.56043954	-79.63400607
5.56776555	-82.45086407
5.57509155	-85.57676655
5.58241756	-89.15686650
5.58974357	-91.98944874
5.59706958	-92.73287517
5.60439558	-91.39611499
5.61172159	-90.99878733
5.61904760	-89.45746063
5.62637360	-91.84738732
5.63369961	-86.90821256
5.64102562	-84.98720774
5.64835163	-85.07872163
5.65567763	-81.14665869
5.66300364	-90.11027820
5.67032965	-87.79830448
5.67765566	-87.04292933
5.68498166	-83.81066715
5.69230767	-89.03810758
5.69963368	-100.34690572
5.70695968	-94.60158060
5.71428569	-91.84787663
5.72161170	-86.89892880
5.72893771	-96.74885489
5.73626371	-91.00642522
5.74358972	-85.27662058
5.75091573	-81.53801230
5.75824174	-85.72219450
5.76556774	-90.21547882
5.77289375	-84.95877767
5.78021976	-86.10270009
5.78754576	-90.27171951
5.79487177	-88.74620290
5.80219778	-86.93783228
5.80952379	-89.71177006
5.81684979	-84.44365734
5.82417580	-88.39368607
5.83150181	-85.50866722
5.83882782	-101.69827662
5.84615382	-87.17833742
5.85347983	-84.92182748
5.86080584	-83.07041722
5.86813185	-86.91926849
5.87545785	-90.35960769
5.88278386	-81.42426863
5.89010987	-93.68626596
5.89743587	-91.51522375
5.90476188	-101.70504393
5.91208789	-87.93867317
5.91941390	-92.38236283
5.92673990	-84.32253118
5.93406591	-98.56500071
5.94139192	-84.91898171
5.94871793	-99.24451987
5.95604393	-89.79138901
5.96336994	-85.63918186
5.97069595	-102.18794810
5.97802195	-88.33164451
5.98534796	-88.99484896
5.99267397	-90.23772430
5.99999998	-84.17884649
6.00732598	-89.78550830
6.01465199	-85.35822400
6.02197800	-79.99111578
6.02930401	-83.97674622
6.03663001	-83.79533093
6.04395602	-90.67120618
6.05128203	-83.00620267
6.05860803	-86.91547308
6.06593404	-94.21735882
6.07326005	-91.39740258
6.08058606	-87.49164784
6.08791206	-86.74754405
6.09523807	-83.55888210
6.10256408	-102.31544123
6.10989009	-87.28738087
6.11721609	-83.85817593
6.12454210	-90.10848116
6.13186811	-89.44526122
6.13919412	-95.07503680
6.14652012	-89.02310687
6.15384613	-87.98858332
6.16117214	-83.52462447
6.16849814	-96.59656655
6.17582415	-83.77929937
6.18315016	-109.35026290
6.19047617	-86.36593765
6.19780217	-88.97482081
6.20512818	-90.83743961
6.21245419	-91.77543847
6.21978020	-85.34145016
6.22710620	-81.23697672
6.23443221	-101.66151186
6.24175822	-90.58433591
6.24908422	-78.81586083
6.25641023	-82.99984472
6.26373624	-83.49999912
6.27106225	-85.63767901
6.27838825	-91.99837999
6.28571426	-83.81516166
6.29304027	-86.64495568
6.30036628	-83.82044109
6.30769228	-88.88637924
6.31501829	-93.88323660
6.32234430	-87.98485196
6.32967030	-95.59012828
6.33699631	-83.42230064
6.34432232	-86.74096241
6.35164833	-93.91034635
6.35897433	-87.92524140
6.36630034	-88.86317078
6.37362635	-88.12230505
6.38095236	-85.59884487
6.38827836	-114.11043278
6.39560437	-82.67587899
6.40293038	-85.23201386
6.41025639	-84.87708233
6.41758239	-79.89570139
6.42490840	-97.40162513
6.43223441	-82.51515983
6.43956041	-90.82102283
6.44688642	-88.25290879
6.45421243	-82.18021642
6.46153844	-86.58308175
6.46886444	-93.38333976
6.47619045	-92.56706508
6.48351646	-85.54718094
6.49084247	-89.87897239
6.49816847	-88.05371100
6.50549448	-93.56201380
6.51282049	-89.43517584
