# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-207.76666686	0.01733982
-207.73333353	0.01835365
-207.70000020	0.01939576
-207.66666686	0.02037447
-207.63333353	0.02153321
-207.60000020	0.02286921
-207.56666687	0.02406877
-207.53333353	0.02538231
-207.50000020	0.02688124
-207.46666687	0.02823432
-207.43333353	0.02993004
-207.40000020	0.03152993
-207.36666687	0.03328915
-207.33333353	0.03492432
-207.30000020	0.03702070
-207.26666687	0.03920007
-207.23333354	0.04127679
-207.20000020	0.04373614
-207.16666687	0.04607148
-207.13333354	0.04865869
-207.10000020	0.05126964
-207.06666687	0.05412434
-207.03333354	0.05697396
-207.00000020	0.05997529
-206.96666687	0.06314562
-206.93333354	0.06643238
-206.90000020	0.07011266
-206.86666687	0.07371443
-206.83333354	0.07734956
-206.80000021	0.08121766
-206.76666687	0.08522101
-206.73333354	0.08944113
-206.70000021	0.09390054
-206.66666687	0.09819093
-206.63333354	0.10289542
-206.60000021	0.10731650
-206.56666687	0.11183357
-206.53333354	0.11616315
-206.50000021	0.12025346
-206.46666688	0.12422534
-206.43333354	0.12762043
-206.40000021	0.13027786
-206.36666688	0.13215858
-206.33333354	0.13268151
-206.30000021	0.13188565
-206.26666688	0.12927196
-206.23333354	0.12428524
-206.20000021	0.11647716
-206.16666688	0.10470713
-206.13333355	0.08816691
-206.10000021	0.06545582
-206.06666688	0.03528586
-206.03333355	-0.00448917
-206.00000021	-0.05532829
-205.96666688	-0.11905842
-205.93333355	-0.19735430
-205.90000021	-0.29093174
-205.86666688	-0.39944718
-205.83333355	-0.52214407
-205.80000022	-0.65575186
-205.76666688	-0.79582040
-205.73333355	-0.93634165
-205.70000022	-1.06989553
-205.66666688	-1.18850231
-205.63333355	-1.28429898
-205.60000022	-1.35072420
-205.56666688	-1.38214461
-205.53333355	-1.37553030
-205.50000022	-1.33005976
-205.46666688	-1.24722329
-205.43333355	-1.13037053
-205.40000022	-0.98484123
-205.36666689	-0.81678012
-205.33333355	-0.63309865
-205.30000022	-0.44099591
-205.26666689	-0.24761732
-205.23333355	-0.05944860
-205.20000022	0.11779795
-205.16666689	0.27949624
-205.13333355	0.42300420
-205.10000022	0.54647930
-205.06666689	0.65033056
-205.03333356	0.73504318
-205.00000022	0.80118611
-204.96666689	0.85027424
-204.93333356	0.88279807
-204.90000022	0.90050394
-204.86666689	0.90464099
-204.83333356	0.89742376
-204.80000022	0.88075102
-204.76666689	0.85675221
-204.73333356	0.82751154
-204.70000023	0.79386662
-204.66666689	0.75641835
-204.63333356	0.71605498
-204.60000023	0.67296370
-204.56666689	0.62742471
-204.53333356	0.57995687
-204.50000023	0.53076916
-204.46666689	0.48036453
-204.43333356	0.42869376
-204.40000023	0.37622901
-204.36666689	0.32311044
-204.33333356	0.26987202
-204.30000023	0.21743313
-204.26666690	0.16639597
-204.23333356	0.11876532
-204.20000023	0.07550794
-204.16666690	0.03822009
-204.13333356	0.00784220
-204.10000023	-0.01487382
-204.06666690	-0.02995849
-204.03333356	-0.03795106
-204.00000023	-0.03986646
-203.96666690	-0.03685580
-203.93333357	-0.03041006
-203.90000023	-0.02205374
-203.86666690	-0.01341961
-203.83333357	-0.00604077
-203.80000023	-0.00128223
-203.76666690	-0.00045176
-203.73333357	-0.00408150
-203.70000023	-0.01256862
-203.66666690	-0.02497492
-203.63333357	-0.04042037
-203.60000024	-0.05701170
-203.56666690	-0.07294951
-203.53333357	-0.08723593
-203.50000024	-0.09824411
-203.46666690	-0.10570492
-203.43333357	-0.10937280
-203.40000024	-0.10933221
-203.36666690	-0.10595701
-203.33333357	-0.09979508
-203.30000024	-0.09135880
-203.26666690	-0.08138429
-203.23333357	-0.07028535
-203.20000024	-0.05887011
-203.16666691	-0.04808799
-203.13333357	-0.03842027
-203.10000024	-0.03024628
-203.06666691	-0.02367830
-203.03333357	-0.01881501
-203.00000024	-0.01532182
-202.96666691	-0.01276787
-202.93333357	-0.01121866
-202.90000024	-0.01026897
-202.86666691	-0.01008697
-202.83333358	-0.01051981
-202.80000024	-0.01170616
-202.76666691	-0.01340991
-202.73333358	-0.01573468
-202.70000024	-0.01844311
-202.66666691	-0.02136644
-202.63333358	-0.02517571
-202.60000024	-0.02944887
-202.56666691	-0.03437566
-202.53333358	-0.03954611
-202.50000025	-0.04434530
-202.46666691	-0.04848276
-202.43333358	-0.05117572
-202.40000025	-0.05197199
-202.36666691	-0.05076312
-202.33333358	-0.04710584
-202.30000025	-0.04105750
-202.26666691	-0.03263835
-202.23333358	-0.02198575
-202.20000025	-0.00961338
-202.16666692	0.00420180
-202.13333358	0.01856712
-202.10000025	0.03244814
-202.06666692	0.04495634
-202.03333358	0.05455497
-202.00000025	0.06066850
-201.96666692	0.06255190
-201.93333358	0.05995443
-201.90000025	0.05269667
-201.86666692	0.04179870
-201.83333358	0.02817041
-201.80000025	0.01268376
-201.76666692	-0.00329576
-201.73333359	-0.01841326
-201.70000025	-0.03179168
-201.66666692	-0.04262818
-201.63333359	-0.04974804
-201.60000025	-0.05326807
-201.56666692	-0.05284087
-201.53333359	-0.04914011
-201.50000025	-0.04311912
-201.46666692	-0.03589980
-201.43333359	-0.02862413
-201.40000026	-0.02250952
-201.36666692	-0.01812732
-201.33333359	-0.01585418
-201.30000026	-0.01565579
-201.26666692	-0.01779865
-201.23333359	-0.02161014
-201.20000026	-0.02682942
-201.16666692	-0.03300757
-201.13333359	-0.03928384
-201.10000026	-0.04538688
-201.06666693	-0.05019335
